"Duration..in.seconds.","Finished","ResponseId","Q2","Q3","Q4","Q2.1","Q3.1","Q4.1","Q2.2","Q3.2","Q4.2","Q5","Q5_5_TEXT","Q6","Q6_5_TEXT","Q7","Q8","Q8_4_TEXT","ConditionAssigned"
"Duration (in seconds)","Finished","Response ID","How surprising was the above information?","How likely are you to reduce using single use cups?","How likely are you to bring your own reusable cup when purchasing beverages?","How surprising was the above information?","How likely are you to reduce using single use cups?","How likely are you to bring your own reusable cup when purchasing beverages?","How surprising was the above information?","How likely are you to reduce using single use cups?","How likely are you to bring your own reusable cup when purchasing beverages?","What is your status at UBC? - Selected Choice","What is your status at UBC? - Other (please specify) - Text","What is your gender identity? - Selected Choice","What is your gender identity? - Other (please specify) - Text","What is your age? (in number of years)","What factor(s) would most likely reduce your consumption of single-use cups? (Choose all applicable answers) - Selected Choice","What factor(s) would most likely reduce your consumption of single-use cups? (Choose all applicable answers) - Other (Specify) - Text","ConditionAssigned"
"77","True","R_7P4M3QNUV0sz7kl","","","","Extremely unsurprising","Slightly unlikely","Slightly likely","","","","Students","","Woman","","21","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Loss"
"34","True","R_3uPoKeQUqogIL4l","Slightly surprising","Moderately unlikely","Moderately unlikely","","","","","","","Not Affiliated","","Man","","21","Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Gain"
"68","True","R_65G7BrispC2eV2n","","","","","","","Slightly surprising","Slightly unlikely","Slightly unlikely","Students","","Woman","","22","Learning about the financial implications of using single-use cups (i.e., cost per cup),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Control"
"158","True","R_40i6X1z7fQUH2Bs","","","","Moderately unsurprising","Moderately likely","Slightly likely","","","","Not Affiliated","","Woman","","","Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Loss"
"91","True","R_1k0T1HeuJsmtdQm","Slightly surprising","Slightly unlikely","Slightly unlikely","","","","","","","Students","","Man","","21","Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Gain"
"103","True","R_3y9bl3tR1vzxcSR","","","","Moderately unsurprising","Extremely likely","Moderately likely","","","","Students","","Woman","","22","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Loss"
"101","True","R_7jx25gH6q84XuJX","","","","","","","Extremely unsurprising","Slightly likely","Neither likely nor unlikely","Students","","Man","","21","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Other (Specify)","Microplastics","Control"
"88","True","R_1F5my25GorP5SB7","","","","","","","Extremely unsurprising","Slightly unlikely","Slightly unlikely","Students","","Woman","","22","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Control"
"82","True","R_4rrxy04vs26yGbE","Slightly surprising","Slightly likely","Slightly unlikely","","","","","","","Not Affiliated","","Woman","","21","Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Gain"
"175","True","R_4YM0YRlwqDt84n6","","","","Neither surprising nor unsurprising","Slightly likely","Moderately unlikely","","","","Not Affiliated","","Woman","","21","Other (Specify)","","Loss"
"110","True","R_3HirVktC5EZCToz","","","","","","","","","","","","","","","","",""
"75","True","R_7jVsDsHWJIq8ryF","Slightly surprising","Neither likely nor unlikely","Moderately unlikely","","","","","","","Students","","Man","","22","Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Gain"
"115","True","R_4zBJfhVvODh4DfU","","","","","","","Moderately unsurprising","Moderately likely","Moderately likely","Students","","Woman","","21","Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Control"
"75","True","R_4fbm5Ejfli11HdD","","","","Moderately surprising","Moderately likely","Extremely likely","","","","Students","","Woman","","21","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day)","","Loss"
"98","True","R_4FBbMcgkQPVv6hj","Extremely unsurprising","Slightly likely","Extremely unlikely","","","","","","","Students","","Woman","","21","Learning about the financial implications of using single-use cups (i.e., cost per cup),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Gain"
"67","True","R_2t2ZsgiK9zDXOCd","","","","Slightly unsurprising","Moderately likely","Slightly likely","","","","Students","","Man","","22","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Loss"
"83","True","R_4EVytMWzOPhC0oN","","","","","","","Extremely unsurprising","Neither likely nor unlikely","Slightly likely","Not Affiliated","","Woman","","22","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Control"
"154","True","R_4vbKtMtrQdExNwl","","","","","","","Neither surprising nor unsurprising","Moderately unlikely","Moderately unlikely","Students","","Non-binary","","22","Other (Specify)","","Control"
"367","True","R_3LXNk1DDObbonKj","","","","Slightly surprising","Moderately likely","Slightly likely","","","","Students","","Woman","","21","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day)","","Loss"
"91","True","R_1Xd0KpBBcYliB4F","","","","","","","Extremely unsurprising","Moderately likely","Moderately likely","Students","","Woman","","37","Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug),Other (Specify)","if there is an additional discount for bringing my own cup","Control"
"71","True","R_3joLtZXkaKa4969","Slightly surprising","Neither likely nor unlikely","Neither likely nor unlikely","","","","","","","Students","","Man","","22","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Gain"
"61","True","R_5TPKL7HtrsGPkGZ","","","","Neither surprising nor unsurprising","Extremely likely","Extremely likely","","","","Students","","Man","","21","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day)","","Loss"
"51","True","R_5v34hBiUkhAMNe8","Extremely unsurprising","Slightly unlikely","Extremely unlikely","","","","","","","Students","","Woman","","21","Other (Specify)","convenience ","Gain"
"200","True","R_4Ejo47W5aWAd16r","","","","","","","Extremely unsurprising","Neither likely nor unlikely","Extremely unlikely","Students","","Man","","21","Other (Specify)","I rarely buy single-use cups, but learning about the environmental and financial implications are interesting. ","Control"
"245","True","R_3AtA0ToAL1kTjkR","","","","Extremely unsurprising","Neither likely nor unlikely","Moderately unlikely","","","","Not Affiliated","","Man","","21","Learning about the financial implications of using single-use cups (i.e., cost per cup),Other (Specify)","","Loss"
"92","True","R_3j9z5Mw2V2vW5BG","","","","","","","Slightly unsurprising","Slightly likely","Slightly unlikely","Not Affiliated","","Man","","21","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Control"
"199","True","R_1ZZZHiN45qpdhFD","Moderately surprising","Extremely likely","Extremely unlikely","","","","","","","Not Affiliated","","Man","","21","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug),Other (Specify)","When the shawty that I am trying to impress likes turtles","Gain"
