StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent Form,Q2,Q3,Q4,Q2,Q3,Q4,Q2,Q3,Q4,Q5,Q5_5_TEXT,Q6,Q6_5_TEXT,Q7,Q8,Q8_4_TEXT,ConditionAssigned
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"University of British Columbia

Department of Psychology

University of British Columbia

Vancouver, BC, V6T 1Z4

Phone: 604.822.2755

Fax: 604.822.6923

Consent Form

Class Research Project in PSYC 421 - Environmental Psychology

Principal Investigator:           Dr. Jiaying Zhao

Course Intrusctor

Department of Psychology

Institute for Resources, Environmental and Sustainability

Email: jiayingz@psych.ubc.ca


Introduction and Purpose
Students in the PSYC 421 – Environment Psychology class are required to complete a research project on the UBC campus as part of their course credit. In this class, students are required to write up a research proposal, conduct a research project, collect and analyze data, present their findings in class, and submit a final report. Their final reports will be published on the SEEDS online library (https://sustain.ubc.ca/teaching-applied-learning/seeds-sustainability-program). Their projects include online surveys and experiments on a variety of sustainability topics, such as waste sorting on campus, student health and wellbeing, food consumption and diet, transportation, biodiversity perception, and exercise habits. The goal of the project is to train students to learn research techniques, how to work in teams and work with UBC clients selected by the UBC SEEDS (Social Ecological Economic Development Studies) program.

Study Procedures

If you agree to participate, the study will take about 10 minutes of your time. You will answer a few questions in the study. The data will be strictly anonymous. Your participation is entirely voluntary, and you can withdraw at any point without any penalty. Your data in the study will be recorded (e.g., any answer you give) for data analysis purposes. If you are not sure about any instructions, please do not hesitate to ask. Your data will only be used for student projects in the class. There are no risks associated with participating in this experiment.

Confidentiality

Your identity will be kept strictly confidential. All documents will be identified only by code number and kept in a locked filing cabinet. You will not be identified by name in any reports of the completed study. Data that will be kept on a computer hard disk will also be identified only by code number and will be encrypted and password protected so that only the principal investigator and course instructor, Dr. Jiaying Zhao and the teaching assistants will have access to it. Following the completion of the study, the data will be transferred to an encrypted and password protected hard drive and stored in a locked filing cabinet. Please note that the results of this study will be used to write a report which is published on the SEEDS library.

Remuneration

There is no remuneration for your participation.

Contact for information about the study

This study is being conducted by Dr. Jiaying Zhao, the principal investigator. Please contact her if you have any questions about this study. Dr. Zhao may be reached at (604) 827-2203 or jiayingz@psych.ubc.ca.

Contact for concerns about the rights of research subjects

If you have any concerns or complaints about your rights as a research participant and/or your experiences while participating in this study, contact the Research Participant Complaint Line in the UBC Office of Research Ethics at 604-822-8598 or if long distance e-mail RSIL@ors.ubc.ca or call toll free 1-877-822-8598.

Consent: Your participation in this study is entirely voluntary and you may refuse to participate or withdraw from the study at any time. You also may postpone your decision to participate for 24 hours. You have the right to choose to not answer some or any of the questions. By clicking the “continue” button, you are indicating your consent to participate; hence, your signature is not required. The researchers encourage you to keep this information sheet for your records. Please feel free to ask the investigators any additional questions that you have about the study.





Ethics ID: H17-02929",How surprising was the above information?,How likely are you to reduce using single use cups?,How likely are you to bring your own reusable cup when purchasing beverages?,How surprising was the above information?,How likely are you to reduce using single use cups?,How likely are you to bring your own reusable cup when purchasing beverages?,How surprising was the above information?,How likely are you to reduce using single use cups?,How likely are you to bring your own reusable cup when purchasing beverages?,What is your status at UBC? - Selected Choice,What is your status at UBC? - Other (please specify) - Text,What is your gender identity? - Selected Choice,What is your gender identity? - Other (please specify) - Text,What is your age? (in number of years),What factor(s) would most likely reduce your consumption of single-use cups? (Choose all applicable answers) - Selected Choice,What factor(s) would most likely reduce your consumption of single-use cups? (Choose all applicable answers) - Other (Specify) - Text,ConditionAssigned
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID6""}","{""ImportId"":""QID31""}","{""ImportId"":""QID39""}","{""ImportId"":""QID29""}","{""ImportId"":""QID48""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID49""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_5_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID24_5_TEXT""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID32""}","{""ImportId"":""QID32_4_TEXT""}","{""ImportId"":""ConditionAssigned""}"
2024-03-06 14:25:55,2024-03-06 14:27:13,IP Address,206.12.179.98,100,77,True,2024-03-06 14:27:13,R_7P4M3QNUV0sz7kl,,,,,49.4645,-122.84,anonymous,EN,I consent to participate in this study and will continue to the experiment.,,,,Extremely unsurprising,Slightly unlikely,Slightly likely,,,,Students,,Woman,,21,"Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)",,Loss
2024-03-06 14:36:46,2024-03-06 14:37:20,IP Address,24.84.220.242,100,34,True,2024-03-06 14:37:21,R_3uPoKeQUqogIL4l,,,,,49.2155,-123.1427,anonymous,EN,I consent to participate in this study and will continue to the experiment.,Slightly surprising,Moderately unlikely,Moderately unlikely,,,,,,,Not Affiliated,,Man,,21,"Learning about the financial implications of using single-use cups (i.e., cost per cup)",,Gain
2024-03-06 15:59:14,2024-03-06 16:00:22,IP Address,108.180.201.174,100,68,True,2024-03-06 16:00:23,R_65G7BrispC2eV2n,,,,,49.2293,-123.1882,anonymous,EN,I consent to participate in this study and will continue to the experiment.,,,,,,,Slightly surprising,Slightly unlikely,Slightly unlikely,Students,,Woman,,22,"Learning about the financial implications of using single-use cups (i.e., cost per cup),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)",,Control
2024-03-06 17:01:22,2024-03-06 17:04:00,IP Address,49.36.185.105,100,158,True,2024-03-06 17:04:01,R_40i6X1z7fQUH2Bs,,,,,28.6542,77.2373,anonymous,EN,I consent to participate in this study and will continue to the experiment.,,,,Moderately unsurprising,Moderately likely,Slightly likely,,,,Not Affiliated,,Woman,,,"Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)",,Loss
2024-03-06 17:05:44,2024-03-06 17:07:16,IP Address,173.180.85.220,100,91,True,2024-03-06 17:07:16,R_1k0T1HeuJsmtdQm,,,,,49.2492,-123.1924,anonymous,EN,I consent to participate in this study and will continue to the experiment.,Slightly surprising,Slightly unlikely,Slightly unlikely,,,,,,,Students,,Man,,21,"Learning about the financial implications of using single-use cups (i.e., cost per cup)",,Gain
2024-03-06 17:08:42,2024-03-06 17:10:26,IP Address,206.12.67.89,100,103,True,2024-03-06 17:10:26,R_3y9bl3tR1vzxcSR,,,,,49.4645,-122.84,anonymous,EN,I consent to participate in this study and will continue to the experiment.,,,,Moderately unsurprising,Extremely likely,Moderately likely,,,,Students,,Woman,,22,"Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup)",,Loss
2024-03-06 18:51:32,2024-03-06 18:53:13,IP Address,205.250.56.155,100,101,True,2024-03-06 18:53:14,R_7jx25gH6q84XuJX,,,,,49.375,-123.1838,anonymous,EN,I consent to participate in this study and will continue to the experiment.,,,,,,,Extremely unsurprising,Slightly likely,Neither likely nor unlikely,Students,,Man,,21,"Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Other (Specify)",Microplastics,Control
2024-03-06 20:50:57,2024-03-06 20:52:25,IP Address,128.189.170.205,100,88,True,2024-03-06 20:52:26,R_1F5my25GorP5SB7,,,,,49.4645,-122.84,anonymous,EN,I consent to participate in this study and will continue to the experiment.,,,,,,,Extremely unsurprising,Slightly unlikely,Slightly unlikely,Students,,Woman,,22,"Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup)",,Control
